system,workload,throughput_qps,power_w,accelerators,qps_per_w,qps_per_accelerator
Dell XR12 (1x A2),ResNet,2342.3,230.2302333,1,10.17372899478359,2342.3
Dell XR12 (1x A2),BERT-99.0,149.993,279.3510309,1,0.5369337622158028,149.993
Dell XR12 (1x A2),RNN-T,652.49,305.5364725,1,2.1355551913691744,652.49
Dell XR12 (1x A2),DLRM-99.0,11989.8,219.9021833,1,54.52333314782509,11989.8
Fujitsu GX2570M6 (8x A100),BERT-99.0,16489.7,3373.143636,8,4.88852589140085,2061.2125
Fujitsu GX2570M6 (8x A100),RNN-T,81993.6,3393.748,8,24.160191033630078,10249.2
Fujitsu GX2570M6 (8x A100),DLRM-99.0,1400980.0,3067.569833,8,456.70679928087554,175122.5
GIGABYTE G292-Z43 (16x QAIC100),ResNet,265029.0,1348.775167,16,196.49605544672664,16564.3125
GIGABYTE G292-Z43 (16x QAIC100),BERT-99.0,9594.98,1361.895667,16,7.045312084101079,599.68625
Krai R282-Z93 (5x QAIC100),ResNet,94996.9,484.5092667,5,196.0682829598396,18999.379999999997
Krai R282-Z93 (5x QAIC100),BERT-99.0,2848.1,424.3088686,5,6.71232729449483,569.62
