R,I,A,L,agent_A_count,agent_B_count,agent_A_tasks,agent_B_tasks,closure_equal
0,0,0,0,0,0,,,1
0,0,0,1,0,0,,,1
0,0,0,2,1,0,T4,,0
0,0,1,0,0,0,,,1
0,0,1,1,0,1,,T3,0
0,0,1,2,1,1,T4,T3,0
0,0,2,0,1,0,T3,,0
0,0,2,1,1,1,T3,T3,1
0,0,2,2,2,1,T3;T4,T3,0
0,1,0,0,0,0,,,1
0,1,0,1,0,0,,,1
0,1,0,2,1,0,T4,,0
0,1,1,0,0,1,,T2,0
0,1,1,1,0,2,,T2;T3,0
0,1,1,2,1,2,T4,T2;T3,0
0,1,2,0,1,1,T3,T2,0
0,1,2,1,1,2,T3,T2;T3,0
0,1,2,2,2,2,T3;T4,T2;T3,0
0,2,0,0,1,0,T2,,0
0,2,0,1,1,0,T2,,0
0,2,0,2,2,0,T2;T4,,0
0,2,1,0,1,1,T2,T2,1
0,2,1,1,1,2,T2,T2;T3,0
0,2,1,2,2,2,T2;T4,T2;T3,0
0,2,2,0,2,1,T2;T3,T2,0
0,2,2,1,2,2,T2;T3,T2;T3,1
0,2,2,2,3,2,T2;T3;T4,T2;T3,0
1,0,0,0,0,0,,,1
1,0,0,1,0,1,,T4,0
1,0,0,2,1,1,T4,T4,1
1,0,1,0,0,0,,,1
1,0,1,1,0,2,,T3;T4,0
1,0,1,2,1,2,T4,T3;T4,0
1,0,2,0,1,0,T3,,0
1,0,2,1,1,2,T3,T3;T4,0
1,0,2,2,2,2,T3;T4,T3;T4,1
1,1,0,0,0,1,,T1,0
1,1,0,1,0,2,,T1;T4,0
1,1,0,2,1,2,T4,T1;T4,0
1,1,1,0,0,2,,T1;T2,0
1,1,1,1,0,4,,T1;T2;T3;T4,0
1,1,1,2,1,4,T4,T1;T2;T3;T4,0
1,1,2,0,1,2,T3,T1;T2,0
1,1,2,1,1,4,T3,T1;T2;T3;T4,0
1,1,2,2,2,4,T3;T4,T1;T2;T3;T4,0
1,2,0,0,1,1,T2,T1,0
1,2,0,1,1,2,T2,T1;T4,0
1,2,0,2,2,2,T2;T4,T1;T4,0
1,2,1,0,1,2,T2,T1;T2,0
1,2,1,1,1,4,T2,T1;T2;T3;T4,0
1,2,1,2,2,4,T2;T4,T1;T2;T3;T4,0
1,2,2,0,2,2,T2;T3,T1;T2,1
1,2,2,1,2,4,T2;T3,T1;T2;T3;T4,0
1,2,2,2,3,4,T2;T3;T4,T1;T2;T3;T4,0
2,0,0,0,1,0,T1,,0
2,0,0,1,1,1,T1,T4,0
2,0,0,2,2,1,T1;T4,T4,0
2,0,1,0,1,0,T1,,0
2,0,1,1,1,2,T1,T3;T4,0
2,0,1,2,2,2,T1;T4,T3;T4,0
2,0,2,0,2,0,T1;T3,,0
2,0,2,1,2,2,T1;T3,T3;T4,0
2,0,2,2,3,2,T1;T3;T4,T3;T4,0
2,1,0,0,1,1,T1,T1,1
2,1,0,1,1,2,T1,T1;T4,0
2,1,0,2,2,2,T1;T4,T1;T4,1
2,1,1,0,1,2,T1,T1;T2,0
2,1,1,1,1,4,T1,T1;T2;T3;T4,0
2,1,1,2,2,4,T1;T4,T1;T2;T3;T4,0
2,1,2,0,2,2,T1;T3,T1;T2,1
2,1,2,1,2,4,T1;T3,T1;T2;T3;T4,0
2,1,2,2,3,4,T1;T3;T4,T1;T2;T3;T4,0
2,2,0,0,2,1,T1;T2,T1,0
2,2,0,1,2,2,T1;T2,T1;T4,1
2,2,0,2,3,2,T1;T2;T4,T1;T4,0
2,2,1,0,2,2,T1;T2,T1;T2,1
2,2,1,1,2,4,T1;T2,T1;T2;T3;T4,0
2,2,1,2,3,4,T1;T2;T4,T1;T2;T3;T4,0
2,2,2,0,3,2,T1;T2;T3,T1;T2,0
2,2,2,1,3,4,T1;T2;T3,T1;T2;T3;T4,0
2,2,2,2,4,4,T1;T2;T3;T4,T1;T2;T3;T4,1
