one_step_a,one_step_b,system1_fa,system1_fb,system2_fa,system2_fb,length2_trace_maps_differ
0,0,00,00,00,01,0
0,0,00,00,01,00,0
0,0,00,00,01,01,0
0,0,00,01,01,00,0
0,0,00,01,01,01,0
0,0,01,00,01,01,0
0,1,00,10,00,11,1
0,1,00,10,01,10,1
0,1,00,10,01,11,1
0,1,00,11,01,10,1
0,1,00,11,01,11,1
0,1,01,10,01,11,1
1,0,10,00,10,01,1
1,0,10,00,11,00,1
1,0,10,00,11,01,1
1,0,10,01,11,00,1
1,0,10,01,11,01,1
1,0,11,00,11,01,1
1,1,10,10,10,11,1
1,1,10,10,11,10,1
1,1,10,10,11,11,1
1,1,10,11,11,10,1
1,1,10,11,11,11,1
1,1,11,10,11,11,1
