n,k,transcripts,ambiguous_transcripts,decisive_transcripts
2,0,1,1,0
2,1,4,4,0
2,2,4,0,4
3,0,1,1,0
3,1,6,6,0
3,2,12,12,0
3,3,8,0,8
4,0,1,1,0
4,1,8,8,0
4,2,24,24,0
4,3,32,32,0
4,4,16,0,16
5,0,1,1,0
5,1,10,10,0
5,2,40,40,0
5,3,80,80,0
5,4,80,80,0
5,5,32,0,32
6,0,1,1,0
6,1,12,12,0
6,2,60,60,0
6,3,160,160,0
6,4,240,240,0
6,5,192,192,0
6,6,64,0,64
7,0,1,1,0
7,1,14,14,0
7,2,84,84,0
7,3,280,280,0
7,4,560,560,0
7,5,672,672,0
7,6,448,448,0
7,7,128,0,128
8,0,1,1,0
8,1,16,16,0
8,2,112,112,0
8,3,448,448,0
8,4,1120,1120,0
8,5,1792,1792,0
8,6,1792,1792,0
8,7,1024,1024,0
8,8,256,0,256
9,0,1,1,0
9,1,18,18,0
9,2,144,144,0
9,3,672,672,0
9,4,2016,2016,0
9,5,4032,4032,0
9,6,5376,5376,0
9,7,4608,4608,0
9,8,2304,2304,0
9,9,512,0,512
10,0,1,1,0
10,1,20,20,0
10,2,180,180,0
10,3,960,960,0
10,4,3360,3360,0
10,5,8064,8064,0
10,6,13440,13440,0
10,7,15360,15360,0
10,8,11520,11520,0
10,9,5120,5120,0
10,10,1024,0,1024
