world,time_budget,energy_budget,tasks,task_count
A,1,1,,0
A,1,2,,0
A,1,3,task1,1
A,1,4,task1,1
A,2,1,,0
A,2,2,task2,1
A,2,3,task1|task2,2
A,2,4,task1|task2,2
A,3,1,task1,1
A,3,2,task1|task2,2
A,3,3,task1|task2,2
A,3,4,task1|task2,2
A,4,1,task1,1
A,4,2,task1|task2,2
A,4,3,task1|task2,2
A,4,4,task1|task2,2
B,1,1,task1,1
B,1,2,task1,1
B,1,3,task1,1
B,1,4,task1,1
B,2,1,task1,1
B,2,2,task1|task2,2
B,2,3,task1|task2,2
B,2,4,task1|task2,2
B,3,1,task1|task3,2
B,3,2,task1|task2|task3,3
B,3,3,task1|task2|task3,3
B,3,4,task1|task2|task3,3
B,4,1,task1|task3,2
B,4,2,task1|task2|task3,3
B,4,3,task1|task2|task3,3
B,4,4,task1|task2|task3,3
C,1,1,,0
C,1,2,,0
C,1,3,task1,1
C,1,4,task1,1
C,2,1,,0
C,2,2,task2,1
C,2,3,task1|task2,2
C,2,4,task1|task2,2
C,3,1,task1,1
C,3,2,task1|task2,2
C,3,3,task1|task2,2
C,3,4,task1|task2,2
C,4,1,task1,1
C,4,2,task1|task2,2
C,4,3,task1|task2,2
C,4,4,task1|task2,2
