m,generative_order,projection_order,agreeing,total,all_agree
2,2,1,2,2,True
2,2,2,0,1,False
3,3,1,3,3,True
3,3,2,3,3,True
3,3,3,0,1,False
4,4,1,4,4,True
4,4,2,6,6,True
4,4,3,4,4,True
4,4,4,0,1,False
5,5,1,5,5,True
5,5,2,10,10,True
5,5,3,10,10,True
5,5,4,5,5,True
5,5,5,0,1,False
6,6,1,6,6,True
6,6,2,15,15,True
6,6,3,20,20,True
6,6,4,15,15,True
6,6,5,6,6,True
6,6,6,0,1,False
7,7,1,7,7,True
7,7,2,21,21,True
7,7,3,35,35,True
7,7,4,35,35,True
7,7,5,21,21,True
7,7,6,7,7,True
7,7,7,0,1,False
8,8,1,8,8,True
8,8,2,28,28,True
8,8,3,56,56,True
8,8,4,70,70,True
8,8,5,56,56,True
8,8,6,28,28,True
8,8,7,8,8,True
8,8,8,0,1,False
