x,y,min_cost_x_to_y,budget_B,Ey_count,Ex_shifted_count,transport_holds
A,B,2.0,0,1,2,True
A,B,2.0,1,2,3,True
A,B,2.0,2,3,4,True
A,B,2.0,3,3,4,True
A,B,2.0,4,4,5,True
A,B,2.0,5,4,5,True
A,B,2.0,6,4,5,True
A,B,2.0,7,4,5,True
A,B,2.0,8,4,5,True
A,B,2.0,9,4,5,True
A,B,2.0,10,4,5,True
A,B,2.0,11,5,5,True
A,B,2.0,12,5,5,True
A,B,2.0,13,5,5,True
A,B,2.0,14,5,5,True
A,B,2.0,15,5,5,True
A,A,0.0,0,1,1,True
A,A,0.0,1,1,1,True
A,A,0.0,2,2,2,True
A,A,0.0,3,3,3,True
A,A,0.0,4,4,4,True
A,A,0.0,5,4,4,True
A,A,0.0,6,5,5,True
A,A,0.0,7,5,5,True
A,A,0.0,8,5,5,True
A,A,0.0,9,5,5,True
A,A,0.0,10,5,5,True
A,A,0.0,11,5,5,True
A,A,0.0,12,5,5,True
A,A,0.0,13,5,5,True
A,A,0.0,14,5,5,True
A,A,0.0,15,5,5,True
A,E,6.0,0,1,5,True
A,E,6.0,1,1,5,True
A,E,6.0,2,1,5,True
A,E,6.0,3,1,5,True
A,E,6.0,4,1,5,True
A,E,6.0,5,1,5,True
A,E,6.0,6,1,5,True
A,E,6.0,7,2,5,True
A,E,6.0,8,2,5,True
A,E,6.0,9,3,5,True
A,E,6.0,10,4,5,True
A,E,6.0,11,5,5,True
A,E,6.0,12,5,5,True
A,E,6.0,13,5,5,True
A,E,6.0,14,5,5,True
A,E,6.0,15,5,5,True
A,C,3.0,0,1,3,True
A,C,3.0,1,2,4,True
A,C,3.0,2,2,4,True
A,C,3.0,3,3,5,True
A,C,3.0,4,3,5,True
A,C,3.0,5,3,5,True
A,C,3.0,6,3,5,True
A,C,3.0,7,3,5,True
A,C,3.0,8,3,5,True
A,C,3.0,9,3,5,True
A,C,3.0,10,4,5,True
A,C,3.0,11,4,5,True
A,C,3.0,12,5,5,True
A,C,3.0,13,5,5,True
A,C,3.0,14,5,5,True
A,C,3.0,15,5,5,True
A,D,4.0,0,1,4,True
A,D,4.0,1,1,4,True
A,D,4.0,2,2,5,True
A,D,4.0,3,2,5,True
A,D,4.0,4,2,5,True
A,D,4.0,5,2,5,True
A,D,4.0,6,2,5,True
A,D,4.0,7,2,5,True
A,D,4.0,8,2,5,True
A,D,4.0,9,3,5,True
A,D,4.0,10,3,5,True
A,D,4.0,11,4,5,True
A,D,4.0,12,5,5,True
A,D,4.0,13,5,5,True
A,D,4.0,14,5,5,True
A,D,4.0,15,5,5,True
B,B,0.0,0,1,1,True
B,B,0.0,1,2,2,True
B,B,0.0,2,3,3,True
B,B,0.0,3,3,3,True
B,B,0.0,4,4,4,True
B,B,0.0,5,4,4,True
B,B,0.0,6,4,4,True
B,B,0.0,7,4,4,True
B,B,0.0,8,4,4,True
B,B,0.0,9,4,4,True
B,B,0.0,10,4,4,True
B,B,0.0,11,5,5,True
B,B,0.0,12,5,5,True
B,B,0.0,13,5,5,True
B,B,0.0,14,5,5,True
B,B,0.0,15,5,5,True
B,A,11.0,0,1,5,True
B,A,11.0,1,1,5,True
B,A,11.0,2,2,5,True
B,A,11.0,3,3,5,True
B,A,11.0,4,4,5,True
B,A,11.0,5,4,5,True
B,A,11.0,6,5,5,True
B,A,11.0,7,5,5,True
B,A,11.0,8,5,5,True
B,A,11.0,9,5,5,True
B,A,11.0,10,5,5,True
B,A,11.0,11,5,5,True
B,A,11.0,12,5,5,True
B,A,11.0,13,5,5,True
B,A,11.0,14,5,5,True
B,A,11.0,15,5,5,True
B,E,4.0,0,1,4,True
B,E,4.0,1,1,4,True
B,E,4.0,2,1,4,True
B,E,4.0,3,1,4,True
B,E,4.0,4,1,4,True
B,E,4.0,5,1,4,True
B,E,4.0,6,1,4,True
B,E,4.0,7,2,5,True
B,E,4.0,8,2,5,True
B,E,4.0,9,3,5,True
B,E,4.0,10,4,5,True
B,E,4.0,11,5,5,True
B,E,4.0,12,5,5,True
B,E,4.0,13,5,5,True
B,E,4.0,14,5,5,True
B,E,4.0,15,5,5,True
B,C,1.0,0,1,2,True
B,C,1.0,1,2,3,True
B,C,1.0,2,2,3,True
B,C,1.0,3,3,4,True
B,C,1.0,4,3,4,True
B,C,1.0,5,3,4,True
B,C,1.0,6,3,4,True
B,C,1.0,7,3,4,True
B,C,1.0,8,3,4,True
B,C,1.0,9,3,4,True
B,C,1.0,10,4,5,True
B,C,1.0,11,4,5,True
B,C,1.0,12,5,5,True
B,C,1.0,13,5,5,True
B,C,1.0,14,5,5,True
B,C,1.0,15,5,5,True
B,D,2.0,0,1,3,True
B,D,2.0,1,1,3,True
B,D,2.0,2,2,4,True
B,D,2.0,3,2,4,True
B,D,2.0,4,2,4,True
B,D,2.0,5,2,4,True
B,D,2.0,6,2,4,True
B,D,2.0,7,2,4,True
B,D,2.0,8,2,4,True
B,D,2.0,9,3,5,True
B,D,2.0,10,3,5,True
B,D,2.0,11,4,5,True
B,D,2.0,12,5,5,True
B,D,2.0,13,5,5,True
B,D,2.0,14,5,5,True
B,D,2.0,15,5,5,True
C,B,12.0,0,1,5,True
C,B,12.0,1,2,5,True
C,B,12.0,2,3,5,True
C,B,12.0,3,3,5,True
C,B,12.0,4,4,5,True
C,B,12.0,5,4,5,True
C,B,12.0,6,4,5,True
C,B,12.0,7,4,5,True
C,B,12.0,8,4,5,True
C,B,12.0,9,4,5,True
C,B,12.0,10,4,5,True
C,B,12.0,11,5,5,True
C,B,12.0,12,5,5,True
C,B,12.0,13,5,5,True
C,B,12.0,14,5,5,True
C,B,12.0,15,5,5,True
C,A,10.0,0,1,4,True
C,A,10.0,1,1,4,True
C,A,10.0,2,2,5,True
C,A,10.0,3,3,5,True
C,A,10.0,4,4,5,True
C,A,10.0,5,4,5,True
C,A,10.0,6,5,5,True
C,A,10.0,7,5,5,True
C,A,10.0,8,5,5,True
C,A,10.0,9,5,5,True
C,A,10.0,10,5,5,True
C,A,10.0,11,5,5,True
C,A,10.0,12,5,5,True
C,A,10.0,13,5,5,True
C,A,10.0,14,5,5,True
C,A,10.0,15,5,5,True
C,E,3.0,0,1,3,True
C,E,3.0,1,1,3,True
C,E,3.0,2,1,3,True
C,E,3.0,3,1,3,True
C,E,3.0,4,1,3,True
C,E,3.0,5,1,3,True
C,E,3.0,6,1,3,True
C,E,3.0,7,2,4,True
C,E,3.0,8,2,4,True
C,E,3.0,9,3,5,True
C,E,3.0,10,4,5,True
C,E,3.0,11,5,5,True
C,E,3.0,12,5,5,True
C,E,3.0,13,5,5,True
C,E,3.0,14,5,5,True
C,E,3.0,15,5,5,True
